wavelength, flux 
459.000,  0.846 
459.100,  0.860 
459.200,  0.837 
459.300,  0.790 
459.400,  0.879 
459.500,  0.823 
459.600,  0.767 
459.700,  0.883 
459.800,  0.800 
459.900,  0.932 
460.000,  0.836 
460.100,  0.697 
460.200,  0.781 
460.300,  0.786 
460.400,  0.965 
460.500,  0.797 
460.600,  0.917 
460.700,  0.951 
460.800,  0.866 
460.900,  0.901 
461.000,  0.931 
461.100,  0.762 
461.200,  0.936 
461.300,  0.766 
461.400,  0.865 
461.500,  0.941 
461.600,  0.792 
461.700,  0.839 
461.800,  0.878 
461.900,  0.778 
462.000,  0.870 
462.100,  0.925 
462.200,  0.858 
462.300,  0.885 
462.400,  0.961 
462.500,  0.862 
462.600,  0.784 
462.700,  0.893 
462.800,  0.953 
462.900,  0.855 
463.000,  0.900 
463.100,  0.937 
463.200,  0.964 
463.300,  0.841 
463.400,  0.838 
463.500,  0.914 
463.600,  0.826 
463.700,  0.866 
463.800,  0.779 
463.900,  0.940 
464.000,  0.850 
464.100,  0.974 
464.200,  0.955 
464.300,  0.881 
464.400,  0.918 
464.500,  0.879 
464.600,  0.905 
464.700,  0.880 
464.800,  0.917 
464.900,  0.813 
465.000,  0.926 
465.100,  0.918 
465.200,  0.852 
465.300,  0.928 
465.400,  0.846 
465.500,  0.838 
465.600,  0.847 
465.700,  0.847 
465.800,  0.970 
465.900,  0.881 
466.000,  0.953 
466.100,  0.931 
466.200,  0.914 
466.300,  0.891 
466.400,  0.927 
466.500,  0.896 
466.600,  0.959 
466.700,  0.767 
466.800,  0.687 
466.900,  0.812 
467.000,  0.866 
467.100,  0.959 
467.200,  0.957 
467.300,  0.791 
467.400,  0.989 
467.500,  0.836 
467.600,  0.909 
467.700,  0.928 
467.800,  0.875 
467.900,  0.802 
468.000,  0.803 
468.100,  0.896 
468.200,  0.854 
468.300,  0.933 
468.400,  0.947 
468.500,  0.830 
468.600,  0.838 
468.700,  0.928 
468.800,  0.942 
468.900,  0.937 
469.000,  0.832 
469.100,  0.796 
469.200,  0.956 
469.300,  0.941 
469.400,  0.956 
469.500,  0.890 
469.600,  0.983 
469.700,  0.916 
469.800,  0.887 
469.900,  0.854 
470.000,  0.946 
470.100,  0.856 
470.200,  0.873 
470.300,  0.781 
470.400,  0.880 
470.500,  0.903 
470.600,  0.926 
470.700,  0.795 
470.800,  0.904 
470.900,  0.810 
471.000,  0.788 
471.100,  0.897 
471.200,  0.926 
471.300,  0.992 
471.400,  0.828 
471.500,  0.946 
471.600,  0.901 
471.700,  0.978 
471.800,  0.928 
471.900,  0.963 
472.000,  0.992 
472.100,  0.903 
472.200,  0.862 
472.300,  0.887 
472.400,  0.909 
472.500,  0.987 
472.600,  0.987 
472.700,  0.834 
472.800,  0.918 
472.900,  0.844 
473.000,  0.843 
473.100,  0.883 
473.200,  0.805 
473.300,  0.880 
473.400,  0.846 
473.500,  0.992 
473.600,  0.898 
473.700,  0.794 
473.800,  0.926 
473.900,  0.879 
474.000,  0.889 
474.100,  0.959 
474.200,  0.873 
474.300,  0.883 
474.400,  0.956 
474.500,  0.893 
474.600,  0.839 
474.700,  0.967 
474.800,  0.884 
474.900,  0.959 
475.000,  0.938 
475.100,  0.963 
475.200,  0.847 
475.300,  0.994 
475.400,  0.860 
475.500,  0.954 
475.600,  0.862 
475.700,  0.904 
475.800,  0.852 
475.900,  0.897 
476.000,  0.956 
476.100,  0.943 
476.200,  0.851 
476.300,  0.854 
476.400,  0.892 
476.500,  0.939 
476.600,  0.820 
476.700,  0.917 
476.800,  0.807 
476.900,  0.922 
477.000,  0.911 
477.100,  0.966 
477.200,  0.929 
477.300,  0.853 
477.400,  0.978 
477.500,  0.968 
477.600,  0.894 
477.700,  0.977 
477.800,  0.991 
477.900,  0.980 
478.000,  0.931 
478.100,  0.928 
478.200,  0.916 
478.300,  0.843 
478.400,  0.929 
478.500,  0.983 
478.600,  0.867 
478.700,  0.843 
478.800,  0.935 
478.900,  0.777 
479.000,  0.898 
479.100,  0.931 
479.200,  0.872 
479.300,  0.895 
479.400,  0.966 
479.500,  0.975 
479.600,  0.910 
