wavelength, flux 
428.300,  0.972 
428.400,  0.989 
428.500,  0.983 
428.600,  1.009 
428.700,  1.016 
428.800,  0.986 
428.900,  0.978 
429.000,  0.912 
429.100,  0.931 
429.200,  0.976 
429.300,  0.995 
429.400,  0.930 
429.500,  0.984 
429.600,  0.982 
429.700,  0.950 
429.800,  1.004 
429.900,  0.943 
430.000,  0.935 
430.100,  0.993 
430.200,  0.948 
430.300,  0.897 
430.400,  0.977 
430.500,  0.973 
430.600,  0.984 
430.700,  0.945 
430.800,  0.900 
430.900,  0.948 
431.000,  0.990 
431.100,  0.988 
431.200,  0.985 
431.300,  0.869 
431.400,  0.892 
431.500,  0.876 
431.600,  0.885 
431.700,  0.896 
431.800,  0.918 
431.900,  0.927 
432.000,  0.889 
432.100,  0.902 
432.200,  0.869 
432.300,  0.876 
432.400,  0.872 
432.500,  0.800 
432.600,  0.809 
432.700,  0.780 
432.800,  0.781 
432.900,  0.768 
433.000,  0.731 
433.100,  0.680 
433.200,  0.686 
433.300,  0.659 
433.400,  0.558 
433.500,  0.535 
433.600,  0.520 
433.700,  0.433 
433.800,  0.406 
433.900,  0.341 
434.000,  0.288 
434.100,  0.232 
434.200,  0.350 
434.300,  0.428 
434.400,  0.443 
434.500,  0.532 
434.600,  0.568 
434.700,  0.563 
434.800,  0.606 
434.900,  0.636 
435.000,  0.698 
435.100,  0.692 
435.200,  0.677 
435.300,  0.790 
435.400,  0.804 
435.500,  0.818 
435.600,  0.839 
435.700,  0.870 
435.800,  0.874 
435.900,  0.896 
436.000,  0.902 
436.100,  0.939 
436.200,  0.939 
436.300,  0.908 
436.400,  0.938 
436.500,  0.948 
436.600,  0.974 
436.700,  0.965 
436.800,  0.914 
436.900,  0.927 
437.000,  0.923 
437.100,  0.968 
437.200,  0.989 
437.300,  0.979 
437.400,  0.964 
437.500,  0.952 
437.600,  0.999 
437.700,  0.982 
437.800,  1.008 
437.900,  0.995 
438.000,  1.005 
438.100,  0.994 
438.200,  1.001 
438.300,  0.979 
438.400,  0.967 
438.500,  0.881 
438.600,  1.009 
438.700,  0.980 
438.800,  1.017 
438.900,  1.025 
439.000,  0.966 
439.100,  0.961 
439.200,  1.002 
439.300,  0.984 
439.400,  0.993 
439.500,  0.965 
439.600,  0.961 
439.700,  0.989 
439.800,  0.976 
439.900,  1.030 
440.000,  0.904 
440.100,  1.011 
440.200,  1.029 
440.300,  0.997 
440.400,  1.025 
440.500,  0.956 
440.600,  1.016 
440.700,  0.970 
440.800,  0.977 
440.900,  1.023 
441.000,  0.992 
441.100,  0.984 
441.200,  0.993 
441.300,  0.982 
441.400,  1.022 
441.500,  0.994 
441.600,  1.006 
441.700,  0.951 
441.800,  0.948 
441.900,  1.005 
442.000,  1.022 
442.100,  0.979 
442.200,  1.019 
442.300,  1.022 
442.400,  1.009 
442.500,  0.986 
442.600,  0.988 
442.700,  1.012 
442.800,  1.001 
442.900,  1.021 
443.000,  1.000 
443.100,  1.008 
443.200,  0.991 
443.300,  0.965 
443.400,  0.964 
443.500,  1.010 
443.600,  0.987 
443.700,  0.966 
443.800,  1.002 
443.900,  1.007 
444.000,  0.980 
444.100,  0.995 
444.200,  0.969 
