wavelength, flux 
424.400,  0.505 
424.500,  0.495 
424.600,  0.586 
424.700,  0.340 
424.800,  0.348 
424.900,  0.412 
425.000,  0.186 
425.100,  0.148 
425.200,  0.288 
425.300,  0.205 
425.400,  0.088 
425.500,  0.119 
425.600,  0.261 
425.700,  0.447 
425.800,  0.403 
425.900,  0.432 
426.000,  0.254 
426.100,  0.242 
426.200,  0.347 
426.300,  0.411 
426.400,  0.454 
426.500,  0.566 
426.600,  0.422 
426.700,  0.399 
426.800,  0.372 
426.900,  0.346 
427.000,  0.250 
427.100,  0.121 
427.200,  0.110 
427.300,  0.183 
427.400,  0.158 
427.500,  0.069 
427.600,  0.193 
427.700,  0.327 
427.800,  0.460 
427.900,  0.405 
428.000,  0.321 
428.100,  0.384 
428.200,  0.359 
428.300,  0.191 
428.400,  0.474 
428.500,  0.356 
428.600,  0.338 
428.700,  0.403 
428.800,  0.262 
428.900,  0.143 
429.000,  0.096 
429.100,  0.169 
429.200,  0.339 
429.300,  0.372 
429.400,  0.266 
429.500,  0.425 
429.600,  0.394 
429.700,  0.386 
429.800,  0.348 
429.900,  0.135 
430.000,  0.221 
430.100,  0.223 
430.200,  0.231 
430.300,  0.237 
430.400,  0.348 
430.500,  0.341 
430.600,  0.168 
430.700,  0.171 
430.800,  0.067 
430.900,  0.177 
431.000,  0.273 
431.100,  0.417 
431.200,  0.417 
431.300,  0.339 
431.400,  0.416 
431.500,  0.310 
431.600,  0.689 
431.700,  0.708 
431.800,  0.590 
431.900,  0.402 
432.000,  0.646 
432.100,  0.382 
432.200,  0.543 
432.300,  0.461 
432.400,  0.361 
432.500,  0.182 
432.600,  0.121 
432.700,  0.294 
432.800,  0.445 
432.900,  0.619 
433.000,  0.549 
433.100,  0.571 
433.200,  0.701 
433.300,  0.544 
433.400,  0.557 
433.500,  0.720 
433.600,  0.886 
433.700,  0.449 
433.800,  0.368 
433.900,  0.438 
434.000,  0.389 
434.100,  0.477 
434.200,  0.678 
434.300,  0.620 
434.400,  0.432 
434.500,  0.448 
434.600,  0.670 
434.700,  0.558 
434.800,  0.497 
434.900,  0.641 
435.000,  0.703 
435.100,  0.441 
435.200,  0.291 
435.300,  0.400 
435.400,  0.591 
435.500,  0.535 
435.600,  0.632 
435.700,  0.704 
435.800,  0.656 
435.900,  0.540 
436.000,  0.516 
436.100,  0.610 
436.200,  0.731 
436.300,  0.584 
436.400,  0.706 
436.500,  0.807 
436.600,  0.676 
436.700,  0.621 
436.800,  0.435 
436.900,  0.713 
437.000,  0.564 
437.100,  0.430 
437.200,  0.599 
437.300,  0.576 
437.400,  0.451 
437.500,  0.511 
437.600,  0.275 
437.700,  0.461 
437.800,  0.556 
437.900,  0.422 
438.000,  0.548 
438.100,  0.449 
438.200,  0.368 
438.300,  0.171 
438.400,  0.124 
438.500,  0.234 
438.600,  0.497 
438.700,  0.479 
438.800,  0.447 
438.900,  0.543 
439.000,  0.386 
439.100,  0.606 
439.200,  0.552 
439.300,  0.617 
439.400,  0.523 
439.500,  0.451 
439.600,  0.599 
439.700,  0.667 
439.800,  0.629 
439.900,  0.645 
440.000,  0.488 
440.100,  0.448 
440.200,  0.654 
440.300,  0.591 
440.400,  0.304 
440.500,  0.176 
440.600,  0.407 
440.700,  0.571 
440.800,  0.295 
440.900,  0.586 
441.000,  0.671 
441.100,  0.644 
441.200,  0.632 
441.300,  0.739 
441.400,  0.478 
441.500,  0.254 
441.600,  0.541 
441.700,  0.491 
441.800,  0.586 
441.900,  0.736 
442.000,  0.661 
442.100,  0.626 
442.200,  0.465 
442.300,  0.517 
442.400,  0.495 
442.500,  0.452 
442.600,  0.365 
442.700,  0.350 
442.800,  0.568 
442.900,  0.710 
443.000,  0.460 
443.100,  0.561 
443.200,  0.686 
443.300,  0.515 
443.400,  0.437 
443.500,  0.167 
443.600,  0.317 
443.700,  0.684 
443.800,  0.629 
443.900,  0.772 
444.000,  0.645 
444.100,  0.566 
444.200,  0.438 
444.300,  0.524 
444.400,  0.483 
444.500,  0.832 
444.600,  0.759 
444.700,  0.612 
444.800,  0.572 
444.900,  0.629 
445.000,  0.565 
445.100,  0.678 
445.200,  0.624 
445.300,  0.481 
445.400,  0.393 
445.500,  0.146 
445.600,  0.284 
445.700,  0.403 
445.800,  0.503 
445.900,  0.412 
446.000,  0.481 
446.100,  0.428 
446.200,  0.282 
446.300,  0.671 
446.400,  0.711 
446.500,  0.555 
446.600,  0.601 
446.700,  0.506 
446.800,  0.711 
446.900,  0.542 
447.000,  0.525 
447.100,  0.659 
447.200,  0.751 
447.300,  0.677 
447.400,  0.709 
447.500,  0.609 
447.600,  0.514 
447.700,  0.761 
447.800,  0.810 
447.900,  0.829 
448.000,  0.539 
448.100,  0.653 
448.200,  0.465 
448.300,  0.536 
448.400,  0.651 
448.500,  0.778 
448.600,  0.757 
448.700,  0.718 
448.800,  0.675 
448.900,  0.644 
449.000,  0.519 
449.100,  0.698 
449.200,  0.773 
449.300,  0.721 
449.400,  0.608 
449.500,  0.488 
449.600,  0.519 
449.700,  0.447 
449.800,  0.705 
449.900,  0.655 
450.000,  0.750 
450.100,  0.741 
450.200,  0.696 
450.300,  0.921 
450.400,  0.864 
450.500,  0.834 
450.600,  0.763 
450.700,  0.694 
450.800,  0.825 
450.900,  0.857 
451.000,  0.804 
451.100,  0.764 
451.200,  0.752 
451.300,  0.611 
451.400,  0.719 
451.500,  0.728 
451.600,  0.790 
451.700,  0.817 
451.800,  0.466 
451.900,  0.766 
452.000,  0.710 
452.100,  0.804 
452.200,  0.748 
452.300,  0.536 
452.400,  0.800 
452.500,  0.573 
452.600,  0.569 
452.700,  0.398 
452.800,  0.600 
452.900,  0.440 
453.000,  0.648 
453.100,  0.414 
453.200,  0.668 
453.300,  0.399 
453.400,  0.508 
453.500,  0.281 
453.600,  0.231 
453.700,  0.802 
453.800,  0.748 
453.900,  0.751 
454.000,  0.705 
454.100,  0.521 
454.200,  0.617 
454.300,  0.798 
454.400,  0.709 
454.500,  0.459 
454.600,  0.466 
454.700,  0.667 
454.800,  0.671 
454.900,  0.529 
455.000,  0.718 
455.100,  0.894 
455.200,  0.634 
455.300,  0.690 
455.400,  0.617 
455.500,  0.562 
455.600,  0.565 
455.700,  0.799 
455.800,  0.702 
455.900,  0.846 
456.000,  0.688 
456.100,  0.753 
456.200,  0.898 
456.300,  0.722 
456.400,  0.713 
456.500,  0.748 
456.600,  0.751 
456.700,  0.806 
456.800,  0.887 
456.900,  0.776 
457.000,  0.684 
457.100,  0.563 
457.200,  0.536 
457.300,  0.804 
457.400,  0.828 
457.500,  0.769 
457.600,  0.803 
457.700,  0.691 
457.800,  0.669 
457.900,  0.491 
458.000,  0.411 
458.100,  0.452 
458.200,  0.641 
458.300,  0.760 
458.400,  0.756 
458.500,  0.653 
458.600,  0.301 
458.700,  0.731 
458.800,  0.763 
458.900,  0.755 
459.000,  0.738 
459.100,  0.654 
459.200,  0.700 
459.300,  0.713 
459.400,  0.666 
459.500,  0.744 
459.600,  0.698 
459.700,  0.714 
459.800,  0.639 
459.900,  0.823 
460.000,  0.731 
460.100,  0.434 
460.200,  0.693 
460.300,  0.534 
460.400,  0.851 
460.500,  0.725 
460.600,  0.731 
460.700,  0.748 
460.800,  0.809 
460.900,  0.882 
461.000,  0.766 
461.100,  0.522 
461.200,  0.800 
461.300,  0.566 
461.400,  0.716 
461.500,  0.849 
461.600,  0.545 
461.700,  0.644 
461.800,  0.768 
461.900,  0.653 
462.000,  0.704 
462.100,  0.801 
462.200,  0.712 
462.300,  0.669 
462.400,  0.799 
462.500,  0.758 
462.600,  0.512 
462.700,  0.732 
462.800,  0.828 
462.900,  0.730 
463.000,  0.847 
463.100,  0.818 
463.200,  0.820 
463.300,  0.642 
463.400,  0.742 
463.500,  0.770 
463.600,  0.798 
463.700,  0.752 
463.800,  0.615 
463.900,  0.705 
464.000,  0.504 
464.100,  0.796 
464.200,  0.912 
464.300,  0.831 
464.400,  0.788 
464.500,  0.717 
464.600,  0.398 
464.700,  0.680 
464.800,  0.748 
464.900,  0.661 
465.000,  0.772 
465.100,  0.636 
465.200,  0.499 
465.300,  0.763 
465.400,  0.751 
465.500,  0.673 
465.600,  0.581 
465.700,  0.705 
465.800,  0.867 
465.900,  0.803 
466.000,  0.891 
466.100,  0.828 
466.200,  0.749 
466.300,  0.776 
466.400,  0.724 
466.500,  0.759 
466.600,  0.748 
466.700,  0.626 
466.800,  0.421 
466.900,  0.663 
467.000,  0.758 
467.100,  0.868 
467.200,  0.811 
467.300,  0.610 
467.400,  0.876 
467.500,  0.570 
467.600,  0.805 
467.700,  0.797 
467.800,  0.783 
467.900,  0.613 
468.000,  0.706 
468.100,  0.735 
468.200,  0.505 
468.300,  0.763 
468.400,  0.797 
468.500,  0.553 
468.600,  0.717 
468.700,  0.640 
468.800,  0.750 
468.900,  0.727 
469.000,  0.716 
469.100,  0.585 
469.200,  0.773 
469.300,  0.776 
469.400,  0.755 
469.500,  0.782 
469.600,  0.861 
469.700,  0.643 
469.800,  0.798 
469.900,  0.521 
470.000,  0.781 
470.100,  0.676 
470.200,  0.756 
470.300,  0.497 
470.400,  0.722 
470.500,  0.745 
470.600,  0.753 
470.700,  0.644 
470.800,  0.679 
470.900,  0.628 
471.000,  0.487 
471.100,  0.740 
471.200,  0.705 
471.300,  0.701 
471.400,  0.590 
471.500,  0.616 
471.600,  0.605 
471.700,  0.746 
471.800,  0.656 
471.900,  0.742 
472.000,  0.697 
472.100,  0.673 
472.200,  0.695 
472.300,  0.583 
472.400,  0.651 
472.500,  0.771 
472.600,  0.731 
472.700,  0.649 
472.800,  0.559 
472.900,  0.599 
473.000,  0.668 
473.100,  0.568 
473.200,  0.620 
473.300,  0.643 
473.400,  0.591 
473.500,  0.734 
473.600,  0.626 
473.700,  0.523 
473.800,  0.611 
473.900,  0.682 
474.000,  0.689 
474.100,  0.637 
474.200,  0.574 
474.300,  0.616 
474.400,  0.659 
474.500,  0.638 
474.600,  0.627 
474.700,  0.679 
474.800,  0.703 
474.900,  0.724 
475.000,  0.728 
475.100,  0.724 
475.200,  0.610 
475.300,  0.594 
475.400,  0.548 
475.500,  0.653 
475.600,  0.567 
475.700,  0.585 
475.800,  0.509 
475.900,  0.491 
476.000,  0.612 
476.100,  0.601 
476.200,  0.482 
476.300,  0.553 
476.400,  0.606 
476.500,  0.636 
476.600,  0.442 
476.700,  0.557 
476.800,  0.500 
476.900,  0.593 
477.000,  0.513 
477.100,  0.578 
477.200,  0.551 
477.300,  0.524 
477.400,  0.631 
477.500,  0.622 
477.600,  0.551 
477.700,  0.582 
477.800,  0.561 
477.900,  0.519 
478.000,  0.567 
478.100,  0.635 
478.200,  0.566 
478.300,  0.522 
478.400,  0.570 
478.500,  0.530 
478.600,  0.510 
478.700,  0.556 
478.800,  0.535 
478.900,  0.481 
479.000,  0.587 
479.100,  0.583 
479.200,  0.591 
479.300,  0.626 
479.400,  0.604 
479.500,  0.740 
479.600,  0.692 
479.700,  0.736 
479.800,  0.631 
479.900,  0.618 
480.000,  0.667 
480.100,  0.609 
480.200,  0.644 
480.300,  0.744 
480.400,  0.787 
480.500,  0.626 
480.600,  0.776 
480.700,  0.640 
480.800,  0.682 
480.900,  0.701 
481.000,  0.723 
481.100,  0.647 
481.200,  0.669 
481.300,  0.708 
481.400,  0.765 
481.500,  0.744 
481.600,  0.684 
481.700,  0.777 
481.800,  0.658 
481.900,  0.739 
482.000,  0.687 
482.100,  0.739 
482.200,  0.709 
482.300,  0.624 
482.400,  0.587 
482.500,  0.723 
482.600,  0.734 
482.700,  0.672 
482.800,  0.716 
482.900,  0.585 
483.000,  0.829 
483.100,  0.665 
483.200,  0.556 
483.300,  0.701 
483.400,  0.722 
483.500,  0.710 
483.600,  0.580 
483.700,  0.727 
483.800,  0.660 
483.900,  0.686 
484.000,  0.539 
484.100,  0.551 
484.200,  0.659 
484.300,  0.565 
484.400,  0.627 
484.500,  0.828 
484.600,  0.712 
484.700,  0.800 
484.800,  0.744 
484.900,  0.739 
485.000,  0.844 
485.100,  0.777 
485.200,  0.758 
485.300,  0.741 
485.400,  0.871 
485.500,  0.693 
485.600,  0.647 
485.700,  0.818 
485.800,  0.893 
485.900,  0.723 
486.000,  0.617 
486.100,  0.656 
486.200,  0.737 
486.300,  0.795 
486.400,  0.645 
486.500,  0.724 
486.600,  0.694 
486.700,  0.745 
486.800,  0.612 
486.900,  0.859 
487.000,  0.692 
487.100,  0.438 
487.200,  0.423 
487.300,  0.716 
487.400,  0.711 
487.500,  0.670 
487.600,  0.635 
487.700,  0.762 
487.800,  0.295 
487.900,  0.727 
488.000,  0.786 
488.100,  0.686 
488.200,  0.547 
488.300,  0.922 
488.400,  0.786 
488.500,  0.633 
488.600,  0.694 
488.700,  0.560 
488.800,  0.630 
488.900,  0.570 
489.000,  0.747 
489.100,  0.320 
489.200,  0.568 
